"e0","year","isono","sexno","ageno","eduno"
36.2,1950,903,1,0,0
38.7,1955,903,1,0,0
41,1960,903,1,0,0
43.1,1965,903,1,0,0
45,1970,903,1,0,0
47.1,1975,903,1,0,0
48.8,1980,903,1,0,0
50,1985,903,1,0,0
50,1990,903,1,0,0
50.7,1995,903,1,0,0
52.2,2000,903,1,0,0
55.5,2005,903,1,0,0
58.6,2010,903,1,0,0
41.5,1950,935,1,0,0
43.6,1955,935,1,0,0
45.6,1960,935,1,0,0
51.7,1965,935,1,0,0
55.5,1970,935,1,0,0
58.1,1975,935,1,0,0
60.1,1980,935,1,0,0
62.2,1985,935,1,0,0
63.6,1990,935,1,0,0
65,1995,935,1,0,0
67,2000,935,1,0,0
68.6,2005,935,1,0,0
70,2010,935,1,0,0
61,1950,908,1,0,0
64.2,1955,908,1,0,0
66,1960,908,1,0,0
66.6,1965,908,1,0,0
66.9,1970,908,1,0,0
67,1975,908,1,0,0
67.6,1980,908,1,0,0
69,1985,908,1,0,0
68.5,1990,908,1,0,0
68.9,1995,908,1,0,0
69.6,2000,908,1,0,0
71.3,2005,908,1,0,0
73.7,2010,908,1,0,0
49.6,1950,904,1,0,0
52.4,1955,904,1,0,0
54.8,1960,904,1,0,0
56.7,1965,904,1,0,0
58.6,1970,904,1,0,0
60.2,1975,904,1,0,0
61.9,1980,904,1,0,0
63.5,1985,904,1,0,0
65.1,1990,904,1,0,0
67.2,1995,904,1,0,0
68.8,2000,904,1,0,0
70.1,2005,904,1,0,0
71.4,2010,904,1,0,0
65.9,1950,905,1,0,0
66.7,1955,905,1,0,0
66.9,1960,905,1,0,0
67,1965,905,1,0,0
67.9,1970,905,1,0,0
69.6,1975,905,1,0,0
70.9,1980,905,1,0,0
71.6,1985,905,1,0,0
72.5,1990,905,1,0,0
73.8,1995,905,1,0,0
74.8,2000,905,1,0,0
75.9,2005,905,1,0,0
76.8,2010,905,1,0,0
59,1950,909,1,0,0
60.7,1955,909,1,0,0
61.6,1960,909,1,0,0
62.4,1965,909,1,0,0
63.8,1970,909,1,0,0
65.5,1975,909,1,0,0
67.2,1980,909,1,0,0
68.3,1985,909,1,0,0
70.1,1990,909,1,0,0
71.4,1995,909,1,0,0
73.1,2000,909,1,0,0
74.7,2005,909,1,0,0
75.7,2010,909,1,0,0
38.8,1950,903,2,0,0
41.3,1955,903,2,0,0
43.7,1960,903,2,0,0
45.8,1965,903,2,0,0
48,1970,903,2,0,0
50.2,1975,903,2,0,0
52.1,1980,903,2,0,0
53.5,1985,903,2,0,0
53.6,1990,903,2,0,0
54,1995,903,2,0,0
55.2,2000,903,2,0,0
58.4,2005,903,2,0,0
61.9,2010,903,2,0,0
43.2,1950,935,2,0,0
45.5,1955,935,2,0,0
47.5,1960,935,2,0,0
54,1965,935,2,0,0
57.6,1970,935,2,0,0
60.6,1975,935,2,0,0
63.1,1980,935,2,0,0
65.1,1985,935,2,0,0
66.8,1990,935,2,0,0
68.5,1995,935,2,0,0
70.3,2000,935,2,0,0
72.2,2005,935,2,0,0
73.8,2010,935,2,0,0
66.2,1950,908,2,0,0
69.8,1955,908,2,0,0
72.1,1960,908,2,0,0
73.2,1965,908,2,0,0
74.1,1970,908,2,0,0
74.8,1975,908,2,0,0
75.6,1980,908,2,0,0
76.5,1985,908,2,0,0
76.9,1990,908,2,0,0
77.3,1995,908,2,0,0
78.1,2000,908,2,0,0
79.3,2005,908,2,0,0
80.7,2010,908,2,0,0
53,1950,904,2,0,0
56,1955,904,2,0,0
58.8,1960,904,2,0,0
61.3,1965,904,2,0,0
63.8,1970,904,2,0,0
66,1975,904,2,0,0
68.1,1980,904,2,0,0
70,1985,904,2,0,0
71.9,1990,904,2,0,0
73.8,1995,904,2,0,0
75.5,2000,904,2,0,0
76.8,2005,904,2,0,0
78,2010,904,2,0,0
71.8,1950,905,2,0,0
73,1955,905,2,0,0
73.7,1960,905,2,0,0
74.3,1965,905,2,0,0
75.5,1970,905,2,0,0
77.2,1975,905,2,0,0
78.1,1980,905,2,0,0
78.6,1985,905,2,0,0
79.2,1990,905,2,0,0
79.5,1995,905,2,0,0
80,2000,905,2,0,0
80.8,2005,905,2,0,0
81.5,2010,905,2,0,0
64.5,1950,909,2,0,0
66.3,1955,909,2,0,0
67.5,1960,909,2,0,0
68.7,1965,909,2,0,0
70.2,1970,909,2,0,0
72.1,1975,909,2,0,0
73.9,1980,909,2,0,0
74.7,1985,909,2,0,0
76.1,1990,909,2,0,0
77.1,1995,909,2,0,0
78.2,2000,909,2,0,0
79.4,2005,909,2,0,0
80.2,2010,909,2,0,0
27.9,1950,4,1,0,0
30.4,1955,4,1,0,0
32.7,1960,4,1,0,0
34.9,1965,4,1,0,0
37.1,1970,4,1,0,0
39.6,1975,4,1,0,0
42.8,1980,4,1,0,0
46.8,1985,4,1,0,0
50.7,1990,4,1,0,0
53.1,1995,4,1,0,0
55.8,2000,4,1,0,0
58.9,2005,4,1,0,0
61,2010,4,1,0,0
54.4,1950,8,1,0,0
58.5,1955,8,1,0,0
63.7,1960,8,1,0,0
65.1,1965,8,1,0,0
66,1970,8,1,0,0
68.3,1975,8,1,0,0
68.5,1980,8,1,0,0
69.3,1985,8,1,0,0
68.9,1990,8,1,0,0
70.2,1995,8,1,0,0
72.2,2000,8,1,0,0
73.2,2005,8,1,0,0
75.6,2010,8,1,0,0
42.3,1950,12,1,0,0
44.3,1955,12,1,0,0
46.5,1960,12,1,0,0
48.7,1965,12,1,0,0
50.6,1970,12,1,0,0
54,1975,12,1,0,0
60.1,1980,12,1,0,0
64.4,1985,12,1,0,0
65.6,1990,12,1,0,0
67.7,1995,12,1,0,0
70.1,2000,12,1,0,0
72.6,2005,12,1,0,0
74.1,2010,12,1,0,0
30,1950,24,1,0,0
31.1,1955,24,1,0,0
32.6,1960,24,1,0,0
34.5,1965,24,1,0,0
36.5,1970,24,1,0,0
38.4,1975,24,1,0,0
39,1980,24,1,0,0
39.5,1985,24,1,0,0
40,1990,24,1,0,0
42.5,1995,24,1,0,0
47.5,2000,24,1,0,0
53,2005,24,1,0,0
57.4,2010,24,1,0,0
56,1950,28,1,0,0
58.4,1955,28,1,0,0
60.5,1960,28,1,0,0
62.2,1965,28,1,0,0
63.9,1970,28,1,0,0
65.4,1975,28,1,0,0
66.8,1980,28,1,0,0
68,1985,28,1,0,0
69.3,1990,28,1,0,0
70.4,1995,28,1,0,0
71.5,2000,28,1,0,0
72.6,2005,28,1,0,0
73.3,2010,28,1,0,0
60.4,1950,32,1,0,0
62.1,1955,32,1,0,0
62.5,1960,32,1,0,0
62.8,1965,32,1,0,0
64.1,1970,32,1,0,0
65.4,1975,32,1,0,0
66.8,1980,32,1,0,0
67.6,1985,32,1,0,0
68.6,1990,32,1,0,0
69.7,1995,32,1,0,0
70.6,2000,32,1,0,0
71.3,2005,32,1,0,0
72.2,2010,32,1,0,0
59.7,1950,51,1,0,0
61.8,1955,51,1,0,0
63.9,1960,51,1,0,0
66,1965,51,1,0,0
67.5,1970,51,1,0,0
67.3,1975,51,1,0,0
67.7,1980,51,1,0,0
65.8,1985,51,1,0,0
64.5,1990,51,1,0,0
66.8,1995,51,1,0,0
69.1,2000,51,1,0,0
69.4,2005,51,1,0,0
70.6,2010,51,1,0,0
59.1,1950,533,1,0,0
63,1955,533,1,0,0
64.8,1960,533,1,0,0
66.4,1965,533,1,0,0
67.5,1970,533,1,0,0
68.8,1975,533,1,0,0
70.5,1980,533,1,0,0
70.8,1985,533,1,0,0
71.1,1990,533,1,0,0
71.2,1995,533,1,0,0
71.5,2000,533,1,0,0
72.2,2005,533,1,0,0
72.9,2010,533,1,0,0
66.7,1950,36,1,0,0
67.5,1955,36,1,0,0
67.8,1960,36,1,0,0
67.6,1965,36,1,0,0
68.5,1970,36,1,0,0
70.2,1975,36,1,0,0
71.7,1980,36,1,0,0
73,1985,36,1,0,0
74.7,1990,36,1,0,0
76,1995,36,1,0,0
77.8,2000,36,1,0,0
79.2,2005,36,1,0,0
80.2,2010,36,1,0,0
63.8,1950,40,1,0,0
64.9,1955,40,1,0,0
66.4,1960,40,1,0,0
66.7,1965,40,1,0,0
67.1,1970,40,1,0,0
68.5,1975,40,1,0,0
69.5,1980,40,1,0,0
71.5,1985,40,1,0,0
72.7,1990,40,1,0,0
