Scenario,Area,Year,Sex,ISOCode,Population
SSP1,Afghanistan,1950,Both,4,7752.1
SSP1,Afghanistan,1955,Both,4,8270.5
SSP1,Afghanistan,1960,Both,4,8992.4
SSP1,Afghanistan,1965,Both,4,9935
SSP1,Afghanistan,1970,Both,4,11122.4
SSP1,Afghanistan,1975,Both,4,12585.9
SSP1,Afghanistan,1980,Both,4,13227.7
SSP1,Afghanistan,1985,Both,4,11698.2
SSP1,Afghanistan,1990,Both,4,12151.9
SSP1,Afghanistan,1995,Both,4,16928.9
SSP1,Afghanistan,2000,Both,4,19893.4
SSP1,Afghanistan,2005,Both,4,24711.6
SSP1,Afghanistan,2010,Both,4,28422.5
SSP1,Afghanistan,2015,Both,4,33740.4
SSP1,Afghanistan,2020,Both,4,38317.9
SSP1,Afghanistan,2025,Both,4,42750.3
SSP1,Afghanistan,2030,Both,4,47055
SSP1,Afghanistan,2035,Both,4,51153.9
SSP1,Afghanistan,2040,Both,4,54915.5
SSP1,Afghanistan,2045,Both,4,58208.1
SSP1,Afghanistan,2050,Both,4,61006.2
SSP1,Afghanistan,2055,Both,4,63256.2
SSP1,Afghanistan,2060,Both,4,64996
SSP1,Afghanistan,2065,Both,4,66241.7
SSP1,Afghanistan,2070,Both,4,66986.5
SSP1,Afghanistan,2075,Both,4,67220.5
SSP1,Afghanistan,2080,Both,4,66860.1
SSP1,Afghanistan,2085,Both,4,65927.2
SSP1,Afghanistan,2090,Both,4,64455
SSP1,Afghanistan,2095,Both,4,62498.3
SSP1,Afghanistan,2100,Both,4,60138.7
SSP1,Albania,1950,Both,8,1263.2
SSP1,Albania,1955,Both,8,1420
SSP1,Albania,1960,Both,8,1636.1
SSP1,Albania,1965,Both,8,1896.1
SSP1,Albania,1970,Both,8,2150.6
SSP1,Albania,1975,Both,8,2411.2
SSP1,Albania,1980,Both,8,2681.2
SSP1,Albania,1985,Both,8,2966.8
SSP1,Albania,1990,Both,8,3281.5
SSP1,Albania,1995,Both,8,3106.7
SSP1,Albania,2000,Both,8,3122
SSP1,Albania,2005,Both,8,3086.8
SSP1,Albania,2010,Both,8,2940.8
SSP1,Albania,2015,Both,8,2923.2
SSP1,Albania,2020,Both,8,2870.7
SSP1,Albania,2025,Both,8,2797.3
SSP1,Albania,2030,Both,8,2703.1
SSP1,Albania,2035,Both,8,2589.1
SSP1,Albania,2040,Both,8,2460.4
SSP1,Albania,2045,Both,8,2321.2
SSP1,Albania,2050,Both,8,2174.4
SSP1,Albania,2055,Both,8,2022
SSP1,Albania,2060,Both,8,1868.9
SSP1,Albania,2065,Both,8,1717.5
SSP1,Albania,2070,Both,8,1570.1
SSP1,Albania,2075,Both,8,1427.5
SSP1,Albania,2080,Both,8,1290
SSP1,Albania,2085,Both,8,1157.4
SSP1,Albania,2090,Both,8,1032.1
SSP1,Albania,2095,Both,8,915.3
SSP1,Albania,2100,Both,8,806.8
SSP1,Algeria,1950,Both,12,8872.2
SSP1,Algeria,1955,Both,12,9829.7
